Profile Name,Title,Date,Model name,Model Colour,Verified,Review Text,Votes,Helpful,Review Total,Number of comments
Shiridi kompella,Prod to be OnePlus User,6 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Always good.... Battery is Superb... But sound Quality is Little bit Louder ... Remaining is Super... 😍; Always good.... Battery is Superb... But sound Quality is Little bit Louder ... Remaining is Super... 😍,39 people found this helpful,Helpful,3,3 Comments
nagaraj s.,Awesome value for the money,4 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,Phone is simply superb in all aspects...low light performance of the camera is outstanding...you simply cannot go wrong with this phone; Phone is simply superb in all aspects...low light performance of the camera is outstanding...you simply cannot go wrong with this phone,74 people found this helpful,Helpful,9,9 Comments
Ankur Tandon,"Worth the purchase, Great Pre Book Benefits",6 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,"Got delivered in just 2.5 hours of my order. No bad overservations yet. Fingerprint unlock is also good, if you have face unlock ON then all the time it will unlock with face data before the the fingerprint works.; Got delivered in just 2.5 hours of my order. No bad overservations yet. Fingerprint unlock is also good, if you have face unlock ON then all the time it will unlock with face data before the the fingerprint works.",47 people found this helpful,Helpful,5,5 Comments
Hari,I am blown,11 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,As the slogan says never settle....proper flagship killer; As the slogan says never settle....proper flagship killer,3 people found this helpful,Helpful,2,2 Comments
adosh dixit,Amazing,7 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,One word Amazing phone; One word Amazing phone,13 people found this helpful,Helpful,2,2 Comments
Amazon Customer,Quite Satisfied,10 November 2018,Size: 8+256 GB,Colour: Midnight Black,Verified Purchase,Great for all specs except for the battery life. Battery drains faster than expected. Without that totally worth it...; Great for all specs except for the battery life. Battery drains faster than expected. Without that totally worth it...,11 people found this helpful,Helpful,2,2 Comments
Kumar Saurav,Amazing beast within the chasis of a beauty !!,11 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"First and foremost...I really dont miss those 3.5 mm jack. Using bluetooth earpiece and the sound quality is top notch.
Picture quality - initial shots taken are impressive.
Battery life is best among all one plus phones.
Build quality is superb. No issues with call clarity and now the best part...Oxygen OS. Its buttery smooth, fluidic and unputdownable. You will ne addicted to it.
Only con is the weight of the device.; First and foremost...I really dont miss those 3.5 mm jack. Using bluetooth earpiece and the sound quality is top notch.; Picture quality - initial shots taken are impressive.; Battery life is best among all one plus phones.; Build quality is superb. No issues with call clarity and now the best part...Oxygen OS. Its buttery smooth, fluidic and unputdownable. You will ne addicted to it.; Only con is the weight of the device.",5 people found this helpful,Helpful,2,2 Comments
Sobhagya,One+6 t is really good phone,10 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,I like this product very much; I like this product very much,5 people found this helpful,Helpful,2,2 Comments
jaong,OnePlus 6t rocks🤘🤘,7 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,Best pH ever..👍👍👌👌; Best pH ever..👍👍👌👌,11 people found this helpful,Helpful,1,1 Comment
RISHABH CHEEMA,"The best till date,just one word awesome",4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Very nice and fantastic phn, the best smart phn till date, awesome camera good battery life; Very nice and fantastic phn, the best smart phn till date, awesome camera good battery life",34 people found this helpful,Helpful,6,6 Comments
Sreejit Sreedevan,Perfect in all aspects!,9 November 2018,Size: 8+256 GB,Colour: Midnight Black,Verified Purchase,"Well, as they claim, it is a flagship killer.
Superfast charging, barely takes and hour to charge almost full. Speaker is loud enough.
Worth the money. OnePlus also proved their worth over the years by providing timely android updates for a long time. So this phone can be used for atleast 5 years without any worries.
Totally loved it.
Got it delivered in less than 12 hours, all credit goes to Amazon.in for that.; Well, as they claim, it is a flagship killer.; Superfast charging, barely takes and hour to charge almost full. Speaker is loud enough.; Worth the money. OnePlus also proved their worth over the years by providing timely android updates for a long time. So this phone can be used for atleast 5 years without any worries.; Totally loved it.; Got it delivered in less than 12 hours, all credit goes to Amazon.in for that.",11 people found this helpful,Helpful,2,2 Comments
Rahul joshi,Good,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Super nice; Super nice,24 people found this helpful,Helpful,8,8 Comments
Jitesh Sarna,👌🏻,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Just awesome; Just awesome,32 people found this helpful,Helpful,5,5 Comments
Rajesh yadav,It is nice,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,I like its full display and picture quality is good but temperd glass should be given to all customers; I like its full display and picture quality is good but temperd glass should be given to all customers,29 people found this helpful,Helpful,5,5 Comments
Atharv Mishra,Awesome phone,6 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Best phone i ever had; Best phone i ever had,9 people found this helpful,Helpful,1,1 Comment
